0.52,0.46,0.34,0.2,0.5,0.0,0.51,0.25,1.0
0.39,0.58,0.5,0.26,0.5,0.0,0.54,0.59,1.0
0.43,0.6,0.4,0.12,0.5,0.0,0.49,0.29,1.0
0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,1.0
0.55,0.35,0.36,0.29,0.5,0.0,0.51,0.22,1.0
0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,1.0
0.41,0.48,0.38,0.13,0.5,0.0,0.51,0.35,1.0
0.46,0.41,0.43,0.18,0.5,0.0,0.54,0.22,1.0
0.42,0.44,0.33,0.17,0.5,0.0,0.54,0.27,1.0
0.26,0.3,0.37,0.15,0.5,0.0,0.53,0.25,1.0
0.45,0.57,0.38,0.28,0.5,0.0,0.53,0.31,1.0
0.45,0.5,0.43,0.16,0.5,0.0,0.52,0.28,1.0
0.49,0.6,0.3,0.34,0.5,0.0,0.5,0.43,1.0
0.26,0.44,0.3,0.11,0.5,0.0,0.51,0.47,1.0
0.49,0.31,0.34,0.13,0.5,0.0,0.52,0.22,1.0
0.67,0.61,0.39,0.24,0.5,0.0,0.51,0.22,1.0
0.39,0.42,0.38,0.4,0.5,0.0,0.49,0.47,1.0
0.5,0.63,0.45,0.13,0.5,0.0,0.45,0.32,1.0
0.39,0.49,0.3,0.19,0.5,0.0,0.52,0.31,1.0
0.65,0.61,0.39,0.3,0.5,0.0,0.57,0.28,1.0
0.31,0.4,0.31,0.17,0.5,0.0,0.52,0.22,1.0
0.46,0.35,0.33,0.17,0.5,0.0,0.55,0.22,1.0
0.52,0.55,0.39,0.09,1.0,0.0,0.55,0.25,1.0
0.25,0.42,0.21,0.14,0.5,0.0,0.41,0.22,1.0
0.47,0.61,0.5,0.23,0.5,0.0,0.49,0.22,1.0
0.44,0.41,0.29,0.21,0.5,0.0,0.49,0.22,1.0
0.43,0.45,0.37,0.12,0.5,0.0,0.48,0.22,1.0
0.46,0.14,0.36,0.21,0.5,0.0,0.5,0.25,1.0
0.51,0.38,0.42,0.21,0.5,0.0,0.46,0.34,1.0
0.49,0.53,0.36,0.15,0.5,0.0,0.52,0.27,1.0
0.58,0.53,0.33,0.26,0.5,0.0,0.51,0.22,1.0
0.42,0.42,0.42,0.2,0.5,0.0,0.49,0.22,1.0
0.38,0.67,0.33,0.17,0.5,0.0,0.51,0.22,1.0
0.47,0.41,0.46,0.18,0.5,0.0,0.53,0.22,1.0
0.38,0.42,0.31,0.35,0.5,0.0,0.52,0.22,1.0
0.66,0.55,0.34,0.2,0.5,0.0,0.62,0.22,1.0
0.2,0.6,0.5,0.29,0.5,0.0,0.51,0.22,1.0
0.45,0.57,0.3,0.17,0.5,0.0,0.51,0.22,1.0
0.5,0.46,0.42,0.32,0.5,0.0,0.56,0.55,1.0
0.47,0.59,0.43,0.13,0.5,0.0,0.56,0.3,1.0
0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,1.0
0.55,0.46,0.47,0.15,0.5,0.0,0.47,0.22,1.0
0.37,0.4,0.38,0.18,0.5,0.0,0.51,0.22,1.0
0.52,0.65,0.36,0.26,0.5,0.0,0.44,0.22,1.0
0.65,0.62,0.26,0.33,0.5,0.0,0.55,0.22,1.0
0.28,0.48,0.36,0.16,0.5,0.0,0.53,0.22,1.0
0.61,0.76,0.3,0.16,0.5,0.0,0.45,0.41,1.0
0.45,0.66,0.39,0.11,0.5,0.0,0.54,0.22,1.0
0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,1.0
0.39,0.56,0.34,0.18,0.5,0.0,0.49,0.22,1.0
0.6,0.68,0.3,0.27,0.5,0.0,0.55,0.22,1.0
0.32,0.29,0.29,0.08,0.5,0.0,0.52,0.22,1.0
0.47,0.43,0.35,0.32,0.5,0.0,0.54,0.22,1.0
0.35,0.32,0.31,0.16,0.5,0.0,0.56,0.22,1.0
0.39,0.46,0.33,0.18,0.5,0.0,0.53,0.22,1.0
0.39,0.33,0.33,0.23,0.5,0.0,0.47,0.22,1.0
0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,1.0
0.29,0.43,0.4,0.15,0.5,0.0,0.53,0.22,1.0
0.53,0.68,0.34,0.42,0.5,0.0,0.54,0.27,1.0
0.43,0.48,0.36,0.26,0.5,0.0,0.52,0.22,1.0
0.33,0.49,0.46,0.22,0.5,0.0,0.53,0.33,1.0
0.4,0.43,0.36,0.33,0.5,0.0,0.51,0.22,1.0
0.59,0.48,0.41,0.53,0.5,0.0,0.48,0.56,1.0
0.4,0.51,0.42,0.13,0.5,0.0,0.45,0.25,1.0
0.49,0.55,0.41,0.19,0.5,0.0,0.48,0.31,1.0
0.27,0.56,0.3,0.14,0.5,0.0,0.52,0.39,1.0
0.47,0.61,0.32,0.27,0.5,0.0,0.5,0.3,1.0
0.42,0.52,0.4,0.17,0.5,0.0,0.5,0.26,1.0
0.49,0.46,0.34,0.21,0.5,0.0,0.55,0.22,1.0
0.53,0.68,0.42,0.19,0.5,0.0,0.53,0.22,1.0
0.51,0.47,0.41,0.44,0.5,0.0,0.5,0.22,1.0
0.57,0.5,0.4,0.08,0.5,0.0,0.47,0.22,1.0
0.51,0.55,0.35,0.16,0.5,0.0,0.51,0.47,1.0
0.37,0.51,0.39,0.18,0.5,0.0,0.51,0.27,1.0
0.63,0.61,0.41,0.22,0.5,0.0,0.51,0.22,1.0
0.35,0.53,0.35,0.33,0.5,0.0,0.5,0.32,1.0
0.49,0.55,0.35,0.23,0.5,0.0,0.57,0.22,1.0
0.65,0.66,0.37,0.12,0.5,0.0,0.52,0.27,1.0
0.31,0.51,0.38,0.18,0.5,0.0,0.46,0.31,1.0
0.46,0.59,0.38,0.12,0.5,0.0,0.5,0.22,1.0
0.58,0.53,0.38,0.18,0.5,0.0,0.52,0.22,1.0
0.39,0.37,0.33,0.23,0.5,0.0,0.53,0.26,1.0
0.39,0.44,0.28,0.12,0.5,0.0,0.46,0.27,1.0
0.54,0.55,0.34,0.31,0.5,0.0,0.54,0.22,1.0
0.41,0.42,0.23,0.16,0.5,0.0,0.4,0.22,1.0
0.47,0.6,0.35,0.21,0.5,0.0,0.52,0.22,1.0
0.36,0.37,0.33,0.14,0.5,0.0,0.57,0.31,1.0
0.42,0.71,0.45,0.15,0.5,0.0,0.48,0.22,1.0
0.49,0.56,0.37,0.2,0.5,0.0,0.53,0.22,1.0
0.55,0.72,0.35,0.26,0.5,0.0,0.49,0.22,1.0
0.42,0.28,0.33,0.23,0.5,0.0,0.39,0.26,1.0
0.48,0.49,0.45,0.23,0.5,0.0,0.51,0.22,1.0
0.4,0.45,0.42,0.17,0.5,0.0,0.54,0.26,1.0
